date,day_of_week,month,location,event_type,weather,temperature,expected_visitors,actual_visitors,vehicle_count,average_speed,available_doctors,available_nurses,available_ambulances,police_personnel,volunteers,medical_cases,parking_occupancy,river_water_level,cleanliness_score,crowd_density,congestion_level,emergency_level
2027-07-01,Thursday,July,Dwarka Circle,Normal Day,Cloudy,26,35805,38722,6858,41,10,24,3,129,215,146,10,Low,95,Low,Low,Low
2027-07-02,Friday,July,Tapovan,Normal Day,Cloudy,26,39847,35889,6224,37,10,22,3,119,199,153,10,Normal,98,Low,Low,Low
2027-07-03,Saturday,July,Trimbakeshwar Temple,Normal Day,Cloudy,32,121719,135738,21214,36,19,46,5,452,754,450,17,Low,85,Medium,Low,Medium
2027-07-04,Sunday,July,Mhasrul,Weekend,Rainy,28,91224,88194,10908,43,12,32,3,293,489,290,10,High,96,Low,Low,Medium
2027-07-05,Monday,July,Sadhugram,Shahi Snan,Rainy,28,856597,949615,182530,8,135,272,37,3165,5275,5153,100,High,40,High,High,Critical
2027-07-06,Tuesday,July,Dwarka Circle,Normal Day,Cloudy,32,15230,13958,2406,32,10,20,3,80,120,38,10,Low,100,Low,Low,Low
2027-07-07,Wednesday,July,Godavari Ghat,Normal Day,Rainy,27,90101,96483,11699,37,13,31,3,321,536,473,10,High,89,Low,Low,Medium
2027-07-08,Thursday,July,Dwarka Circle,Normal Day,Rainy,29,65524,64663,10403,32,10,32,3,215,359,270,10,Normal,96,Low,Low,Low
2027-07-09,Friday,July,Godavari Ghat,Normal Day,Sunny,33,59945,65400,10841,38,10,35,3,218,363,390,10,Normal,96,Low,Low,Medium
2027-07-10,Saturday,July,Trimbakeshwar Temple,Festival,Rainy,26,371061,336340,60942,17,48,100,13,1121,1868,1039,50,High,69,High,Medium,High
2027-07-11,Sunday,July,Trimbakeshwar Temple,Weekend,Sunny,31,207111,188221,36796,19,26,64,7,627,1045,1173,30,Low,85,Medium,Medium,High
2027-07-12,Monday,July,Godavari Ghat,Normal Day,Rainy,24,50591,47066,9335,32,10,26,3,156,261,188,10,High,100,Low,Low,Low
2027-07-13,Tuesday,July,Panchavati,Normal Day,Sunny,36,24185,24305,4656,45,10,30,3,81,135,141,10,Normal,99,Low,Low,Low
2027-07-14,Wednesday,July,Sadhugram,Normal Day,Rainy,25,23912,23409,3438,42,10,27,3,80,130,184,10,High,100,Low,Low,Low
2027-07-15,Thursday,July,Panchavati,Shahi Snan,Sunny,37,524854,583492,79668,18,83,176,23,1944,3241,3153,66,High,51,High,Medium,Critical
2027-07-16,Friday,July,Nimani,Normal Day,Rainy,29,49489,55224,10652,43,10,33,3,184,306,186,10,Normal,95,Low,Low,Low
2027-07-17,Saturday,July,Nimani,Normal Day,Rainy,29,65993,73791,9142,28,10,26,3,245,409,376,10,High,97,Low,Low,Medium
2027-07-18,Sunday,July,Adgaon Naka,Weekend,Cloudy,29,113135,119821,18141,29,17,37,4,399,665,709,15,Low,87,Medium,Low,Medium
2027-07-19,Monday,July,Trimbakeshwar Temple,Normal Day,Rainy,29,103903,111026,15183,36,15,30,4,370,616,377,12,High,94,Medium,Low,Medium
2027-07-20,Tuesday,July,Panchavati,Festival,Sunny,33,223093,218859,41319,21,31,74,8,729,1215,684,34,Normal,84,Medium,Medium,Medium
2027-07-21,Wednesday,July,Godavari Ghat,Normal Day,Sunny,33,23549,23194,3925,45,10,31,3,80,128,124,10,Low,99,Low,Low,Low
2027-07-22,Thursday,July,Godavari Ghat,Normal Day,Rainy,26,21767,20913,3747,39,10,28,3,80,120,102,10,High,94,Low,Low,Low
2027-07-23,Friday,July,Sadhugram,Normal Day,Sunny,36,92337,97459,18691,37,13,33,3,324,541,282,15,Normal,94,Low,Low,Medium
2027-07-24,Saturday,July,Trimbakeshwar Temple,Normal Day,Cloudy,25,61263,67679,8281,41,10,20,3,225,375,282,10,Normal,96,Low,Low,Low
2027-07-25,Sunday,July,Gangapur Road,Weekend,Cloudy,31,125181,134756,24855,43,19,47,5,449,748,438,20,Low,85,Medium,Low,Medium
2027-07-26,Monday,July,Sadhugram,Normal Day,Cloudy,32,74232,68354,8360,36,10,35,3,227,379,389,10,Low,93,Low,Low,Medium
2027-07-27,Tuesday,July,Mhasrul,Normal Day,Sunny,34,19547,21762,3897,37,10,33,3,80,120,140,10,Low,98,Low,Low,Low
2027-07-28,Wednesday,July,Ramkund,Normal Day,Sunny,31,24160,22483,3059,39,10,26,3,80,124,89,10,Normal,98,Low,Low,Low
2027-07-29,Thursday,July,Panchavati,Normal Day,Sunny,32,30833,29618,4387,30,10,31,3,98,164,167,10,Normal,93,Low,Low,Low
2027-07-30,Friday,July,Gangapur Road,Festival,Rainy,27,108440,112127,15281,43,16,41,4,373,622,836,12,Normal,92,Medium,Low,Medium
2027-07-31,Saturday,July,Shalimar,Normal Day,Rainy,22,34347,31633,5381,28,10,23,3,105,175,152,10,High,100,Low,Low,Low
2027-08-01,Sunday,August,College Road,Weekend,Sunny,31,55304,57793,10810,38,10,23,3,192,321,230,10,Low,95,Low,Low,Low
2027-08-02,Monday,August,Godavari Ghat,Normal Day,Cloudy,29,50770,55819,7338,30,10,20,3,186,310,283,10,Low,98,Low,Low,Low
2027-08-03,Tuesday,August,Panchavati,Normal Day,Sunny,30,58379,53729,8504,31,10,23,3,179,298,307,10,Normal,91,Low,Low,Medium
2027-08-04,Wednesday,August,College Road,Normal Day,Rainy,28,27865,29376,4689,36,10,29,3,97,163,320,10,High,93,Low,Low,Medium
2027-08-05,Thursday,August,Sadhugram,Shahi Snan,Rainy,24,1047365,1155081,146298,9,165,341,46,3850,6417,6393,100,High,40,High,High,Critical
2027-08-06,Friday,August,Shalimar,Normal Day,Sunny,34,37455,38927,7027,33,10,31,3,129,216,236,10,Low,97,Low,Low,Low
2027-08-07,Saturday,August,Dwarka Circle,Normal Day,Sunny,38,57183,62197,10968,32,10,35,3,207,345,282,10,Normal,94,Low,Low,Low
2027-08-08,Sunday,August,Mumbai Naka,Weekend,Sunny,32,143673,150628,25013,28,21,46,6,502,836,638,20,Normal,90,Medium,Low,Medium
2027-08-09,Monday,August,College Road,Normal Day,Sunny,35,16764,17576,2297,34,10,21,3,80,120,99,10,Normal,99,Low,Low,Low
2027-08-10,Tuesday,August,Gangapur Road,Festival,Cloudy,28,163944,159710,27629,22,22,50,6,532,887,900,23,Low,86,Medium,Low,Medium
2027-08-11,Wednesday,August,Tapovan,Normal Day,Cloudy,26,44416,48122,8938,37,10,31,3,160,267,239,10,Normal,97,Low,Low,Low
2027-08-12,Thursday,August,Adgaon Naka,Normal Day,Rainy,29,39636,41539,6760,44,10,23,3,138,230,309,10,Normal,93,Low,Low,Medium
2027-08-13,Friday,August,CBS Nashik,Normal Day,Cloudy,32,62031,62043,9037,37,10,20,3,206,344,261,10,Normal,98,Low,Low,Low
2027-08-14,Saturday,August,Ramkund,Normal Day,Sunny,34,100502,108385,21310,44,15,43,4,361,602,627,17,Low,88,Medium,Low,Medium
2027-08-15,Sunday,August,College Road,Weekend,Rainy,26,91920,94966,18426,44,13,40,3,316,527,386,15,Normal,89,Low,Low,Medium
2027-08-16,Monday,August,Dwarka Circle,Normal Day,Sunny,30,42050,42823,8226,28,10,20,3,142,237,119,10,Normal,100,Low,Low,Low
2027-08-17,Tuesday,August,Godavari Ghat,Normal Day,Sunny,30,75065,75306,13404,44,10,26,3,251,418,459,11,Low,95,Low,Low,Medium
2027-08-18,Wednesday,August,Sadhugram,Normal Day,Cloudy,26,85418,94648,14077,41,13,27,3,315,525,519,11,Low,94,Low,Low,Medium
2027-08-19,Thursday,August,Trimbakeshwar Temple,Normal Day,Cloudy,29,48679,53851,7812,31,10,29,3,179,299,255,10,Low,96,Low,Low,Low
2027-08-20,Friday,August,Dwarka Circle,Festival,Sunny,31,218413,234170,29768,28,33,78,9,780,1300,1018,24,Normal,84,Medium,Low,High
2027-08-21,Saturday,August,Ramkund,Normal Day,Sunny,33,86702,93573,13849,41,13,39,3,311,519,285,11,Low,91,Low,Low,Medium
2027-08-22,Sunday,August,Ramkund,Weekend,Rainy,25,133052,147784,19318,39,21,42,5,492,821,923,16,High,85,Medium,Low,High
2027-08-23,Monday,August,Mumbai Naka,Normal Day,Sunny,32,26070,23946,2935,43,10,33,3,80,133,66,10,Low,99,Low,Low,Low
2027-08-24,Tuesday,August,Trimbakeshwar Temple,Normal Day,Sunny,34,55278,60387,10150,37,10,20,3,201,335,227,10,Normal,91,Low,Low,Low
2027-08-25,Wednesday,August,Sadhugram,Shahi Snan,Sunny,36,711027,658555,87874,11,94,189,26,2195,3658,3509,73,High,48,High,Medium,Critical
2027-08-26,Thursday,August,Panchavati,Normal Day,Rainy,24,59904,63473,7757,42,10,33,3,211,352,369,10,Normal,94,Low,Low,Medium
2027-08-27,Friday,August,Panchavati,Normal Day,Rainy,22,61234,62852,12130,45,10,20,3,209,349,445,10,High,92,Low,Low,Medium
2027-08-28,Saturday,August,Trimbakeshwar Temple,Normal Day,Sunny,32,52048,48447,7994,39,10,34,3,161,269,176,10,Low,98,Low,Low,Low
2027-08-29,Sunday,August,Godavari Ghat,Weekend,Sunny,34,111396,120046,20443,30,17,37,4,400,666,459,17,Normal,92,Medium,Low,Medium
2027-08-30,Monday,August,CBS Nashik,Festival,Sunny,38,210177,228462,28630,26,32,76,9,761,1269,901,23,Normal,82,Medium,Low,High
2027-08-31,Tuesday,August,Tapovan,Normal Day,Sunny,31,35736,36764,6080,42,10,24,3,122,204,234,10,Low,99,Low,Low,Low
2027-09-01,Wednesday,September,Trimbakeshwar Temple,Normal Day,Sunny,31,102569,97673,16825,30,13,32,3,325,542,381,14,Normal,94,Low,Low,Medium
2027-09-02,Thursday,September,Mumbai Naka,Normal Day,Rainy,25,60860,56062,6754,28,10,28,3,186,311,367,10,Normal,95,Low,Low,Medium
2027-09-03,Friday,September,Ramkund,Normal Day,Sunny,33,67548,69642,9171,43,10,21,3,232,386,312,10,Low,94,Low,Low,Medium
2027-09-04,Saturday,September,Panchavati,Normal Day,Sunny,30,64155,67216,12510,42,10,23,3,224,373,395,10,Low,96,Low,Low,Medium
2027-09-05,Sunday,September,CBS Nashik,Weekend,Rainy,26,139044,127335,25135,28,18,39,5,424,707,719,20,Normal,88,Medium,Low,Medium
2027-09-06,Monday,September,Sadhugram,Normal Day,Sunny,34,37598,36658,6253,38,10,24,3,122,203,198,10,Low,93,Low,Low,Low
2027-09-07,Tuesday,September,Mhasrul,Normal Day,Sunny,34,20762,20951,3027,44,10,24,3,80,120,83,10,Normal,96,Low,Low,Low
2027-09-08,Wednesday,September,Sadhugram,Normal Day,Rainy,29,34161,36785,5142,29,10,28,3,122,204,197,10,High,92,Low,Low,Low
2027-09-09,Thursday,September,Ramkund,Normal Day,Sunny,35,108542,107633,19510,37,15,40,4,358,597,628,16,Low,94,Medium,Low,Medium
2027-09-10,Friday,September,Gangapur Road,Festival,Cloudy,27,210361,231068,39713,20,33,72,9,770,1283,1108,33,Low,80,Medium,Medium,High
2027-09-11,Saturday,September,Nimani,Normal Day,Cloudy,29,61025,64584,10563,39,10,24,3,215,358,349,10,Low,96,Low,Low,Medium
2027-09-12,Sunday,September,Mumbai Naka,Weekend,Sunny,36,75898,72110,12172,40,10,27,3,240,400,361,10,Normal,91,Low,Low,Medium
2027-09-13,Monday,September,Panchavati,Normal Day,Sunny,30,71847,72284,14225,42,10,29,3,240,401,455,11,Low,92,Low,Low,Medium
2027-09-14,Tuesday,September,CBS Nashik,Normal Day,Cloudy,30,31418,34296,4975,44,10,29,3,114,190,116,10,Normal,100,Low,Low,Low
2027-09-15,Wednesday,September,Shalimar,Shahi Snan,Sunny,37,367447,385335,47218,23,55,111,15,1284,2140,1802,39,High,65,High,Medium,Critical
2027-09-16,Thursday,September,Dwarka Circle,Normal Day,Sunny,31,59964,60397,11040,38,10,21,3,201,335,330,10,Low,97,Low,Low,Medium
2027-09-17,Friday,September,Panchavati,Normal Day,Cloudy,26,77537,82592,15080,41,11,36,3,275,458,469,12,Normal,97,Low,Low,Medium
2027-09-18,Saturday,September,Panchavati,Normal Day,Sunny,30,73104,67123,12896,34,10,25,3,223,372,335,10,Normal,95,Low,Low,Medium
2027-09-19,Sunday,September,Sadhugram,Weekend,Sunny,38,128232,129773,18390,44,18,38,5,432,720,773,15,Low,88,Medium,Low,Medium
2027-09-20,Monday,September,CBS Nashik,Festival,Sunny,32,206345,190589,26983,28,27,56,7,635,1058,656,22,Normal,82,Medium,Low,Medium
2027-09-21,Tuesday,September,Godavari Ghat,Normal Day,Sunny,35,56126,51269,6443,34,10,34,3,170,284,171,10,Low,95,Low,Low,Low
2027-09-22,Wednesday,September,Tapovan,Normal Day,Cloudy,32,30906,30533,4374,42,10,34,3,101,169,155,10,Normal,100,Low,Low,Low
2027-09-23,Thursday,September,Nimani,Normal Day,Cloudy,28,28224,29022,4641,40,10,22,3,96,161,87,10,Low,100,Low,Low,Low
2027-09-24,Friday,September,Panchavati,Normal Day,Sunny,33,33005,36184,6827,34,10,31,3,120,201,102,10,Low,96,Low,Low,Low
2027-09-25,Saturday,September,Adgaon Naka,Shahi Snan,Rainy,25,585454,618668,100906,9,88,187,24,2062,3437,2324,84,High,50,High,High,Critical
2027-09-26,Sunday,September,Dwarka Circle,Weekend,Sunny,32,100646,111890,20176,40,15,37,4,372,621,382,16,Low,91,Medium,Low,Medium
2027-09-27,Monday,September,Ramkund,Normal Day,Cloudy,28,86270,79003,13762,44,11,30,3,263,438,276,11,Normal,91,Low,Low,Low
2027-09-28,Tuesday,September,Tapovan,Normal Day,Sunny,30,37241,35219,5367,34,10,32,3,117,195,184,10,Normal,97,Low,Low,Low
2027-09-29,Wednesday,September,Godavari Ghat,Normal Day,Sunny,36,51461,47831,5993,44,10,22,3,159,265,296,10,Normal,98,Low,Low,Low
2027-09-30,Thursday,September,Tapovan,Festival,Sunny,37,155165,172391,30362,25,24,52,6,574,957,1081,25,Low,82,Medium,Low,High
2027-10-01,Friday,October,Trimbakeshwar Temple,Normal Day,Sunny,34,120067,125303,21644,41,17,34,5,417,696,773,18,Normal,90,Medium,Low,Medium
2027-10-02,Saturday,October,CBS Nashik,Normal Day,Sunny,36,27095,28940,4056,43,10,29,3,96,160,150,10,Low,97,Low,Low,Low
2027-10-03,Sunday,October,Panchavati,Weekend,Cloudy,27,121927,124658,23493,45,17,43,4,415,692,708,19,Low,88,Medium,Low,Medium
2027-10-04,Monday,October,Gangapur Road,Normal Day,Cloudy,29,44485,41121,7891,38,10,30,3,137,228,133,10,Low,98,Low,Low,Low
2027-10-05,Tuesday,October,Shalimar,Shahi Snan,Sunny,35,705989,648356,107617,10,92,190,25,2161,3601,1951,89,High,46,High,High,Critical
2027-10-06,Wednesday,October,CBS Nashik,Normal Day,Rainy,23,48587,52576,10253,34,10,25,3,175,292,223,10,Normal,98,Low,Low,Low
2027-10-07,Thursday,October,Mumbai Naka,Normal Day,Sunny,35,31823,32902,4948,35,10,29,3,109,182,204,10,Low,95,Low,Low,Low
2027-10-08,Friday,October,Dwarka Circle,Normal Day,Cloudy,25,17256,19100,2521,28,10,22,3,80,120,91,10,Normal,95,Low,Low,Low
2027-10-09,Saturday,October,Ramkund,Normal Day,Cloudy,26,58952,53268,8094,28,10,27,3,177,295,136,10,Normal,94,Low,Low,Low
2027-10-10,Sunday,October,Tapovan,Weekend,Rainy,27,124058,121620,22751,31,17,46,4,405,675,512,18,Normal,85,Medium,Low,Medium
2027-10-11,Monday,October,Tapovan,Normal Day,Cloudy,25,50878,53105,8259,29,10,35,3,177,295,251,10,Normal,91,Low,Low,Low
2027-10-12,Tuesday,October,Adgaon Naka,Normal Day,Sunny,37,31206,34544,6264,42,10,28,3,115,191,168,10,Normal,100,Low,Low,Low
2027-10-13,Wednesday,October,Mumbai Naka,Normal Day,Sunny,30,49146,54652,8089,30,10,29,3,182,303,286,10,Low,99,Low,Low,Low
2027-10-14,Thursday,October,Trimbakeshwar Temple,Normal Day,Sunny,36,33206,31114,4305,33,10,31,3,103,172,117,10,Normal,94,Low,Low,Low
2027-10-15,Friday,October,College Road,Shahi Snan,Sunny,33,552575,613459,115488,9,87,187,24,2044,3408,2338,96,High,52,High,High,Critical
2027-10-16,Saturday,October,Trimbakeshwar Temple,Normal Day,Cloudy,29,93040,90336,15293,37,12,39,3,301,501,394,12,Low,96,Low,Low,Medium
2027-10-17,Sunday,October,Sadhugram,Weekend,Rainy,26,111805,111891,20992,33,15,32,4,372,621,404,17,Normal,89,Medium,Low,Medium
2027-10-18,Monday,October,College Road,Normal Day,Cloudy,26,52383,51779,9441,29,10,34,3,172,287,275,10,Normal,94,Low,Low,Low
2027-10-19,Tuesday,October,Mumbai Naka,Normal Day,Sunny,33,49479,47310,8416,44,10,22,3,157,262,191,10,Low,96,Low,Low,Low
